"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1"
"phi[4,1]",0.384403362036946,0.00471069609980134,0.148965290402441,0.0972859276239107,0.288038210069816,0.381596976773217,0.48068463416595,0.700092429579868,1000,1.00003295641303,0.384403362036946,0.148965290402441,0.0972859276239107,0.288038210069816,0.381596976773217,0.48068463416595,0.700092429579868
"phi[4,2]",0.429103079028044,0.00484627498547804,0.146135413966383,0.142275827688306,0.330454349832257,0.426888297049686,0.524378548123801,0.718347904465439,909.274144942327,1.00316102406104,0.429103079028044,0.146135413966383,0.142275827688306,0.330454349832257,0.426888297049686,0.524378548123801,0.718347904465439
"phi[4,3]",0.18649355893501,0.00325240694881418,0.102850138360115,0.0180430234938703,0.108287383260037,0.177519933863835,0.257402830691154,0.399225307897081,1000,1.00102786030198,0.18649355893501,0.102850138360115,0.0180430234938703,0.108287383260037,0.177519933863835,0.257402830691154,0.399225307897081
"phi[5,1]",0.541034736482129,0.00351989986921732,0.11093459844752,0.330503251268341,0.462708042309054,0.541153317252271,0.618708460855406,0.756918304248028,993.283938304877,0.999281501079076,0.541034736482129,0.11093459844752,0.330503251268341,0.462708042309054,0.541153317252271,0.618708460855406,0.756918304248028
"phi[5,2]",0.279607496211074,0.00343687892194464,0.101264534547396,0.0952311081965436,0.203970309797198,0.277030735252651,0.350136347222831,0.483640046141598,868.133022552331,0.999026658457804,0.279607496211074,0.101264534547396,0.0952311081965436,0.203970309797198,0.277030735252651,0.350136347222831,0.483640046141598
"phi[5,3]",0.179357767306796,0.00278477892734469,0.0873098354547022,0.0296009426445936,0.115684752348699,0.173241060497916,0.236104763500378,0.365423307395372,982.980475213635,0.99923334110386,0.179357767306796,0.0873098354547022,0.0296009426445936,0.115684752348699,0.173241060497916,0.236104763500378,0.365423307395372
"phi[6,1]",0.309207016287204,0.0050847847245812,0.15495722067203,0.0321170271593204,0.191424549841778,0.302445657712193,0.422436578110987,0.605659679905691,928.706520514809,0.999417678154965,0.309207016287204,0.15495722067203,0.0321170271593204,0.191424549841778,0.302445657712193,0.422436578110987,0.605659679905691
"phi[6,2]",0.344627236634353,0.00427310517672578,0.131350609079774,0.0941017618018687,0.2587843364277,0.34208231553127,0.431490048266682,0.602578708028425,944.880784111857,0.999088806426969,0.344627236634353,0.131350609079774,0.0941017618018687,0.2587843364277,0.34208231553127,0.431490048266682,0.602578708028425
"phi[6,3]",0.346165747078443,0.0048912205309224,0.154411032977939,0.0622378767330636,0.234230510103449,0.339932608492821,0.455899384015913,0.645461246013071,996.602949057162,0.999815410250086,0.346165747078443,0.154411032977939,0.0622378767330636,0.234230510103449,0.339932608492821,0.455899384015913,0.645461246013071
"phi[7,1]",0.487398213198149,0.00527816572171476,0.166910255484451,0.165253630504652,0.373383525426795,0.490984569979616,0.60188703581944,0.808288283468596,1000,0.99968173398194,0.487398213198149,0.166910255484451,0.165253630504652,0.373383525426795,0.490984569979616,0.60188703581944,0.808288283468596
